freq,SMA_S,SMA_L,Signal_Mw,num_trades,strat_multiple,bh_multiple,outperf_net,outperf,num_samples
15.0,15.0,40.0,35.0,7086.0,0.021,0.247,-0.247,-0.226,171076.0
15.0,15.0,50.0,5.0,15094.0,0.003,0.247,-0.247,-0.244,171076.0
15.0,15.0,50.0,10.0,10904.0,0.004,0.247,-0.247,-0.243,171076.0
15.0,15.0,50.0,15.0,9168.0,0.008,0.247,-0.247,-0.239,171076.0
15.0,15.0,50.0,20.0,8074.0,0.013,0.247,-0.247,-0.234,171076.0
15.0,15.0,50.0,25.0,7454.0,0.025,0.247,-0.247,-0.222,171076.0
15.0,15.0,50.0,30.0,6988.0,0.035,0.247,-0.247,-0.212,171076.0
15.0,15.0,50.0,35.0,6708.0,0.041,0.247,-0.247,-0.206,171076.0
15.0,20.0,30.0,5.0,14742.0,0.002,0.247,-0.247,-0.245,171076.0
15.0,20.0,30.0,10.0,10862.0,0.006,0.247,-0.247,-0.241,171076.0
15.0,20.0,30.0,15.0,9116.0,0.007,0.247,-0.247,-0.24,171076.0
15.0,20.0,30.0,20.0,8212.0,0.011,0.247,-0.247,-0.236,171076.0
15.0,20.0,30.0,25.0,7598.0,0.016,0.247,-0.247,-0.231,171076.0
15.0,20.0,30.0,30.0,7166.0,0.028,0.247,-0.247,-0.219,171076.0
15.0,20.0,30.0,35.0,6878.0,0.028,0.247,-0.247,-0.219,171076.0
15.0,20.0,40.0,5.0,13882.0,0.004,0.247,-0.247,-0.243,171076.0
15.0,20.0,40.0,10.0,10080.0,0.004,0.247,-0.247,-0.243,171076.0
15.0,20.0,40.0,15.0,8444.0,0.017,0.247,-0.247,-0.23,171076.0
15.0,20.0,40.0,20.0,7548.0,0.017,0.247,-0.247,-0.23,171076.0
15.0,20.0,40.0,25.0,7024.0,0.027,0.247,-0.247,-0.22,171076.0
15.0,20.0,40.0,30.0,6552.0,0.056,0.247,-0.247,-0.191,171076.0
15.0,20.0,40.0,35.0,6222.0,0.046,0.247,-0.247,-0.201,171076.0
15.0,20.0,50.0,5.0,13314.0,0.003,0.247,-0.247,-0.244,171076.0
15.0,20.0,50.0,10.0,9626.0,0.005,0.247,-0.247,-0.242,171076.0
15.0,20.0,50.0,15.0,7994.0,0.012,0.247,-0.247,-0.235,171076.0
15.0,20.0,50.0,20.0,7204.0,0.025,0.247,-0.247,-0.222,171076.0
15.0,20.0,50.0,25.0,6568.0,0.06,0.247,-0.247,-0.187,171076.0
15.0,20.0,50.0,30.0,6262.0,0.028,0.247,-0.247,-0.219,171076.0
15.0,20.0,50.0,35.0,5950.0,0.042,0.247,-0.247,-0.205,171076.0
15.0,25.0,40.0,5.0,12762.0,0.005,0.247,-0.247,-0.242,171076.0
15.0,25.0,40.0,10.0,9284.0,0.006,0.247,-0.247,-0.241,171076.0
15.0,25.0,40.0,15.0,7766.0,0.018,0.247,-0.247,-0.229,171076.0
15.0,25.0,40.0,20.0,7008.0,0.026,0.247,-0.247,-0.221,171076.0
15.0,25.0,40.0,25.0,6382.0,0.055,0.247,-0.247,-0.192,171076.0
15.0,25.0,40.0,30.0,6018.0,0.04,0.247,-0.247,-0.207,171076.0
15.0,25.0,40.0,35.0,5802.0,0.04,0.247,-0.247,-0.207,171076.0
15.0,25.0,50.0,5.0,12298.0,0.003,0.247,-0.247,-0.244,171076.0
15.0,25.0,50.0,10.0,8748.0,0.011,0.247,-0.247,-0.236,171076.0
15.0,25.0,50.0,15.0,7374.0,0.02,0.247,-0.247,-0.227,171076.0
15.0,25.0,50.0,20.0,6528.0,0.061,0.247,-0.247,-0.186,171076.0
15.0,25.0,50.0,25.0,6102.0,0.036,0.247,-0.247,-0.211,171076.0
15.0,25.0,50.0,30.0,5728.0,0.049,0.247,-0.247,-0.198,171076.0
15.0,25.0,50.0,35.0,5378.0,0.117,0.247,-0.246,-0.13,171076.0
25.0,5.0,20.0,5.0,17044.0,0.004,0.251,-0.251,-0.247,102668.0
25.0,5.0,20.0,10.0,13040.0,0.003,0.251,-0.251,-0.248,102668.0
25.0,5.0,20.0,15.0,11292.0,0.007,0.251,-0.251,-0.244,102668.0
25.0,5.0,20.0,20.0,10540.0,0.006,0.251,-0.251,-0.245,102668.0
25.0,5.0,20.0,25.0,9948.0,0.012,0.251,-0.251,-0.239,102668.0
25.0,5.0,20.0,30.0,9562.0,0.014,0.251,-0.251,-0.237,102668.0
25.0,5.0,20.0,35.0,9322.0,0.014,0.251,-0.251,-0.237,102668.0
25.0,5.0,30.0,5.0,16126.0,0.002,0.251,-0.251,-0.249,102668.0
25.0,5.0,30.0,10.0,12050.0,0.003,0.251,-0.251,-0.248,102668.0
25.0,5.0,30.0,15.0,10462.0,0.008,0.251,-0.251,-0.243,102668.0
25.0,5.0,30.0,20.0,9490.0,0.015,0.251,-0.251,-0.236,102668.0
25.0,5.0,30.0,25.0,8896.0,0.016,0.251,-0.251,-0.235,102668.0
25.0,5.0,30.0,30.0,8462.0,0.034,0.251,-0.251,-0.217,102668.0
25.0,5.0,30.0,35.0,8216.0,0.042,0.251,-0.251,-0.209,102668.0
25.0,5.0,40.0,5.0,15744.0,0.003,0.251,-0.251,-0.248,102668.0
25.0,5.0,40.0,10.0,11634.0,0.004,0.251,-0.251,-0.247,102668.0
25.0,5.0,40.0,15.0,9934.0,0.012,0.251,-0.251,-0.239,102668.0
25.0,5.0,40.0,20.0,8990.0,0.015,0.251,-0.251,-0.236,102668.0
25.0,5.0,40.0,25.0,8374.0,0.035,0.251,-0.251,-0.216,102668.0
25.0,5.0,40.0,30.0,8002.0,0.036,0.251,-0.251,-0.215,102668.0
