freq,SMA_S,SMA_L,Signal_Mw,num_trades,strat_multiple,bh_multiple,outperf_net,outperf,num_samples
15.0,10.0,30.0,25.0,10930.0,0.088,4.686,-4.686,-4.598,182273.0
15.0,10.0,30.0,30.0,10256.0,0.149,4.686,-4.686,-4.537,182273.0
15.0,10.0,30.0,35.0,9798.0,0.187,4.686,-4.686,-4.499,182273.0
15.0,10.0,40.0,5.0,19472.0,0.106,4.686,-4.686,-4.58,182273.0
15.0,10.0,40.0,10.0,14436.0,0.098,4.686,-4.686,-4.588,182273.0
15.0,10.0,40.0,15.0,12202.0,0.134,4.686,-4.686,-4.552,182273.0
15.0,10.0,40.0,20.0,10970.0,0.101,4.686,-4.686,-4.585,182273.0
15.0,10.0,40.0,25.0,10066.0,0.154,4.686,-4.686,-4.532,182273.0
15.0,10.0,40.0,30.0,9482.0,0.105,4.686,-4.686,-4.581,182273.0
15.0,10.0,40.0,35.0,9056.0,0.146,4.686,-4.686,-4.54,182273.0
15.0,10.0,50.0,5.0,19106.0,0.067,4.686,-4.686,-4.619,182273.0
15.0,10.0,50.0,10.0,13972.0,0.104,4.686,-4.686,-4.582,182273.0
15.0,10.0,50.0,15.0,11696.0,0.126,4.686,-4.686,-4.56,182273.0
15.0,10.0,50.0,20.0,10434.0,0.092,4.686,-4.686,-4.594,182273.0
15.0,10.0,50.0,25.0,9672.0,0.094,4.686,-4.686,-4.592,182273.0
15.0,10.0,50.0,30.0,9018.0,0.12,4.686,-4.686,-4.566,182273.0
15.0,10.0,50.0,35.0,8575.0,0.158,4.686,-4.686,-4.528,182273.0
15.0,15.0,30.0,5.0,17132.0,0.164,4.686,-4.686,-4.522,182273.0
15.0,15.0,30.0,10.0,12750.0,0.138,4.686,-4.686,-4.548,182273.0
15.0,15.0,30.0,15.0,10836.0,0.138,4.686,-4.686,-4.548,182273.0
15.0,15.0,30.0,20.0,9728.0,0.159,4.686,-4.686,-4.527,182273.0
15.0,15.0,30.0,25.0,9010.0,0.197,4.686,-4.686,-4.489,182273.0
15.0,15.0,30.0,30.0,8574.0,0.154,4.686,-4.686,-4.532,182273.0
