freq,SMA_S,SMA_L,Signal_Mw,num_trades,strat_multiple,bh_multiple,outperf_net,outperf,num_samples
15.0,10.0,20.0,25.0,10884.0,0.188,0.354,-0.354,-0.166,158053.0
15.0,10.0,20.0,30.0,10334.0,0.262,0.354,-0.354,-0.092,158053.0
15.0,10.0,20.0,35.0,9988.0,0.321,0.354,-0.354,-0.033,158053.0
15.0,10.0,30.0,5.0,17996.0,0.069,0.354,-0.354,-0.285,158053.0
15.0,10.0,30.0,10.0,13472.0,0.081,0.354,-0.354,-0.273,158053.0
15.0,10.0,30.0,15.0,11416.0,0.18,0.354,-0.354,-0.174,158053.0
15.0,10.0,30.0,20.0,10246.0,0.366,0.354,-0.354,0.012,158053.0
15.0,10.0,30.0,25.0,9568.0,0.238,0.354,-0.354,-0.116,158053.0
15.0,10.0,30.0,30.0,9122.0,0.189,0.354,-0.354,-0.165,158053.0
15.0,10.0,30.0,35.0,8846.0,0.116,0.354,-0.354,-0.238,158053.0
15.0,10.0,40.0,5.0,17330.0,0.027,0.354,-0.354,-0.327,158053.0
15.0,10.0,40.0,10.0,12720.0,0.089,0.354,-0.354,-0.265,158053.0
15.0,10.0,40.0,15.0,10700.0,0.213,0.354,-0.354,-0.141,158053.0
15.0,10.0,40.0,20.0,9650.0,0.246,0.354,-0.354,-0.108,158053.0
15.0,10.0,40.0,25.0,9020.0,0.117,0.354,-0.354,-0.237,158053.0
15.0,10.0,40.0,30.0,8510.0,0.064,0.354,-0.354,-0.29,158053.0
15.0,10.0,40.0,35.0,8130.0,0.069,0.354,-0.354,-0.285,158053.0
15.0,10.0,50.0,5.0,16920.0,0.042,0.354,-0.354,-0.312,158053.0
15.0,10.0,50.0,10.0,12318.0,0.139,0.354,-0.354,-0.215,158053.0
15.0,10.0,50.0,15.0,10288.0,0.314,0.354,-0.354,-0.04,158053.0
15.0,10.0,50.0,20.0,9248.0,0.201,0.354,-0.354,-0.153,158053.0
15.0,10.0,50.0,25.0,8532.0,0.075,0.354,-0.354,-0.279,158053.0
15.0,10.0,50.0,30.0,8030.0,0.066,0.354,-0.354,-0.288,158053.0
15.0,10.0,50.0,35.0,7660.0,0.058,0.354,-0.354,-0.296,158053.0
15.0,15.0,30.0,5.0,15280.0,0.043,0.354,-0.354,-0.311,158053.0
15.0,15.0,30.0,10.0,11172.0,0.187,0.354,-0.354,-0.167,158053.0
15.0,15.0,30.0,15.0,9552.0,0.412,0.354,-0.354,0.058,158053.0
15.0,15.0,30.0,20.0,8600.0,0.177,0.354,-0.354,-0.177,158053.0
15.0,15.0,30.0,25.0,8038.0,0.081,0.354,-0.354,-0.273,158053.0
15.0,15.0,30.0,30.0,7608.0,0.101,0.354,-0.354,-0.253,158053.0
15.0,15.0,30.0,35.0,7294.0,0.092,0.354,-0.354,-0.262,158053.0
15.0,15.0,40.0,5.0,14572.0,0.029,0.354,-0.354,-0.325,158053.0
15.0,15.0,40.0,10.0,10488.0,0.265,0.354,-0.354,-0.089,158053.0
15.0,15.0,40.0,15.0,8902.0,0.222,0.354,-0.354,-0.132,158053.0
15.0,15.0,40.0,20.0,8024.0,0.08,0.354,-0.354,-0.274,158053.0
15.0,15.0,40.0,25.0,7428.0,0.096,0.354,-0.354,-0.258,158053.0
15.0,15.0,40.0,30.0,7066.0,0.073,0.354,-0.354,-0.281,158053.0
15.0,15.0,40.0,35.0,6738.0,0.071,0.354,-0.354,-0.283,158053.0
15.0,15.0,50.0,5.0,14076.0,0.052,0.354,-0.354,-0.302,158053.0
15.0,15.0,50.0,10.0,10078.0,0.284,0.354,-0.354,-0.07,158053.0
15.0,15.0,50.0,15.0,8582.0,0.134,0.354,-0.354,-0.22,158053.0
15.0,15.0,50.0,20.0,7662.0,0.079,0.354,-0.354,-0.275,158053.0
